,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,win_or_loss,points_per_poss,true_shooting_%,Off_reb_minus_TO,3-pointer,close,long-range,mid-range
224,39,89,9,25,25,27,11,36,47,22,19,9,10,7,112,98.4,98.4,113.8,107.7,3IN4,1,1.1382113821138211,0.5551149881046789,1,26,19,0,40
225,40,91,6,18,20,25,11,37,48,23,20,4,11,5,106,98.4,98.4,107.7,113.8,3+,0,1.0772357723577237,0.5196078431372549,0,17,35,1,32
226,37,89,6,16,18,20,12,36,48,18,12,7,12,2,98,92.6,92.6,105.8,102.6,3IN4-B2B,1,1.0583153347732184,0.5010224948875256,0,18,21,0,44
227,36,88,13,29,10,15,14,32,46,22,19,8,13,5,95,92.6,92.6,102.6,105.8,2,0,1.0259179265658747,0.5021141649048626,1,29,27,0,27
228,46,85,14,30,19,20,9,35,44,33,18,15,15,6,125,98.9,98.9,126.4,102.1,3IN4-B2B,1,1.2639029322548025,0.6663113006396588,-6,30,23,0,29
229,38,94,13,36,12,17,17,27,44,26,18,7,19,3,101,98.9,98.9,102.1,126.4,1,0,1.0212335692618808,0.49763500197083166,-2,38,36,0,19
230,38,74,9,27,16,22,4,38,42,18,19,8,21,2,101,97.6,97.6,103.4,93.2,1,1,1.0348360655737705,0.6034894837476099,-17,28,14,0,28
231,34,85,8,21,15,20,11,32,43,18,19,13,15,3,91,97.6,97.6,93.2,103.4,1,0,0.9323770491803279,0.48507462686567165,-4,23,23,0,34
232,39,88,5,19,22,23,4,36,40,23,28,14,13,3,105,104.9,95.0,100.1,103.9,1,0,1.0009532888465205,0.5350591112922951,-9,19,28,0,39
233,36,86,11,32,26,31,13,41,54,24,21,7,20,6,109,104.9,95.0,103.9,100.1,1,1,1.0390848427073403,0.5469690887193898,-7,32,21,0,30
234,36,86,14,33,19,26,13,34,47,16,21,9,15,6,105,97.4,97.4,107.8,96.5,2,1,1.0780287474332648,0.5387931034482759,-2,33,31,0,20
235,38,87,3,15,15,19,10,36,46,16,21,7,15,5,94,97.4,97.4,96.5,107.8,1,0,0.9650924024640657,0.4928691275167785,-5,17,19,0,48
236,43,90,6,22,21,22,8,37,45,18,21,8,5,5,113,95.3,95.3,118.6,116.5,1,1,1.185729275970619,0.5668138041733547,3,22,26,0,38
237,38,93,17,41,18,24,18,39,57,22,16,1,12,4,111,95.3,95.3,116.5,118.6,1,0,1.1647429171038823,0.5359212050984936,6,42,26,0,22
238,33,81,7,28,14,16,12,40,52,19,18,9,15,7,87,88.8,88.8,98.0,83.3,1,1,0.9797297297297298,0.49409359382099044,-3,29,21,0,30
239,26,78,8,20,14,19,8,35,43,13,18,11,12,6,74,88.8,88.8,83.3,98.0,1,0,0.8333333333333334,0.42843909217230197,-4,20,22,0,33
240,33,94,6,23,15,17,21,36,57,19,26,7,25,11,87,101.9,101.9,85.4,112.9,1,0,0.8537782139352306,0.428655892786756,-4,25,24,0,29
241,35,90,11,27,34,43,19,34,53,23,18,16,16,3,115,101.9,101.9,112.9,85.4,1,1,1.1285574092247301,0.5279103929489534,3,26,33,1,18
242,39,86,11,27,21,35,11,34,45,18,20,9,10,3,110,96.3,96.3,114.2,112.1,1,1,1.142263759086189,0.5424063116370809,1,27,25,0,27
243,38,88,16,28,16,19,9,36,45,21,27,3,10,1,108,96.3,96.3,112.1,114.2,1,0,1.1214953271028036,0.5603985056039851,-1,29,19,0,35
244,32,76,5,25,17,21,9,33,42,14,14,2,13,4,86,86.6,86.6,99.3,110.9,1,0,0.9930715935334874,0.5044580009385266,-4,24,14,1,32
245,36,81,9,20,15,19,10,35,45,24,13,8,8,2,96,86.6,86.6,110.9,99.3,1,1,1.1085450346420325,0.5371530886302597,2,19,15,1,40
246,43,88,6,21,28,35,13,35,48,18,21,7,15,3,120,102.3,92.6,117.3,119.3,3IN4-B2B,0,1.1730205278592374,0.5802707930367504,-2,23,30,2,27
247,45,86,13,33,19,27,7,29,36,29,24,8,13,4,122,102.3,92.6,119.3,117.3,3IN4,1,1.1925708699902249,0.623212096444626,-6,34,18,0,25
