,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO TO,BL,PTS,POSS,PACE,OEFF,DEFF,REST DAYS,win_or_loss,points_per_poss,true_shooting_%,Off_reb_minus_TO,3-pointer,close,long-range,mid-range
417,36,85,5,20,19,22,17,39,56,17,18,11,22,7,96,99.1,99.1,96.8,85.7,3IN4-B2B,1,0.9687184661957619,0.5069708491761723,-5,22,28,0,30
418,34,84,7,27,10,14,7,30,37,16,20,15,20,5,85,99.1,99.1,85.7,96.8,3IN4,0,0.8577194752774975,0.47138420585625557,-13,26,22,1,33
419,45,98,15,38,6,8,12,39,51,26,22,13,14,6,111,102.2,102.2,108.6,90.0,1,1,1.086105675146771,0.5466903073286052,-2,42,21,1,27
420,34,86,10,31,14,22,9,36,45,18,12,7,19,7,92,102.2,102.2,90.0,108.6,2,0,0.9001956947162426,0.4807692307692307,-10,33,20,0,28
421,27,75,7,26,23,30,7,30,37,19,22,5,14,4,84,93.6,93.6,89.7,114.3,1,0,0.8974358974358975,0.47619047619047616,-7,27,16,0,32
422,40,81,6,19,21,25,10,39,49,22,19,8,14,7,107,93.6,93.6,114.3,89.7,1,1,1.1431623931623933,0.5815217391304348,-4,18,30,1,29
423,43,88,12,23,17,21,15,23,38,28,15,14,16,7,115,96.3,96.3,119.4,105.9,3IN4,1,1.1941848390446521,0.5913204442616208,-1,25,23,0,31
424,38,78,14,42,12,12,11,28,39,29,22,6,28,7,102,96.3,96.3,105.9,119.4,1,0,1.0591900311526479,0.6123919308357348,-17,42,27,1,5
425,43,85,15,32,23,31,6,37,43,26,17,11,10,4,124,95.7,95.7,129.6,108.7,1,1,1.2957157784743991,0.6285482562854826,-4,32,15,1,28
426,28,88,9,27,18,31,14,35,49,14,22,5,10,5,83,98.3,98.3,84.4,109.8,3IN4-B2B,0,0.8443540183112919,0.4083038173947265,4,28,27,0,28
427,39,79,8,26,22,31,4,47,51,19,25,4,14,3,108,98.3,98.3,109.8,84.4,2,1,1.0986775178026449,0.582901554404145,-10,24,28,2,16
428,33,86,3,17,27,33,8,33,41,23,19,12,17,3,96,105.9,105.9,90.7,110.5,1,0,0.9065155807365439,0.47751691205730207,-9,18,29,0,37
429,45,83,9,24,18,23,4,41,45,27,21,10,17,6,117,105.9,105.9,110.5,90.7,B2B,1,1.1048158640226629,0.6282216494845361,-13,25,30,0,24
430,40,93,8,20,18,22,7,30,37,22,25,5,12,1,106,104.9,104.9,101.0,142.0,3IN4-B2B,0,1.0104861773117253,0.5161667315932995,-5,20,27,1,40
431,53,86,19,36,24,35,6,42,48,47,20,7,10,5,149,104.9,104.9,142.0,101.0,1,1,1.4204003813155386,0.7347140039447732,-4,36,17,1,18
432,32,76,7,25,30,38,5,33,38,18,21,7,9,7,101,96.4,96.4,104.8,120.4,3IN4-B2B,0,1.0477178423236513,0.5446505608283002,-4,27,20,0,25
433,44,94,12,28,16,17,11,35,46,26,23,4,11,1,116,96.4,96.4,120.4,104.8,2,1,1.2033195020746887,0.5715411903823413,0,27,28,1,30
434,38,81,11,24,22,25,13,32,45,24,12,4,17,8,109,93.8,93.8,116.3,109.9,1,1,1.1620469083155651,0.592391304347826,-4,26,15,0,32
435,42,91,12,34,7,9,8,28,36,32,21,8,10,4,103,93.8,93.8,109.9,116.3,1,0,1.0980810234541576,0.5423336141533277,-2,34,19,1,22
436,40,88,6,29,8,10,7,30,37,26,17,10,12,4,94,93.6,93.6,100.5,97.3,3+,1,1.0042735042735043,0.5086580086580086,-5,30,24,1,28
437,35,80,7,23,14,20,14,35,49,18,16,5,19,7,91,93.6,93.6,97.3,100.5,1,0,0.9722222222222223,0.5123873873873874,-5,25,18,0,31
438,43,85,20,43,22,24,9,38,47,30,16,9,14,3,128,97.2,97.2,131.6,92.5,1,1,1.316872427983539,0.6697362913352867,-5,43,13,0,18
439,43,93,8,29,17,27,10,36,46,25,14,6,13,4,111,105.5,95.5,105.2,107.1,1,0,1.052132701421801,0.5291762013729977,-3,29,40,0,22
440,45,97,11,28,12,13,13,42,55,26,21,9,17,8,113,105.5,95.5,107.1,105.2,2,1,1.0710900473933649,0.5500389408099688,-4,29,30,0,37
441,40,90,6,21,19,26,11,40,51,24,17,10,14,5,105,100.1,100.1,104.9,88.9,2,1,1.0489510489510492,0.5175473186119874,-3,22,25,0,39
442,31,78,9,22,18,22,8,40,48,18,21,7,19,8,89,100.1,100.1,88.9,104.9,1,0,0.8891108891108892,0.5075273722627737,-11,23,28,0,25
443,35,73,7,21,20,26,6,26,32,26,16,4,14,6,97,91.1,91.1,106.5,118.6,1,0,1.0647639956092207,0.574372335386073,-8,20,22,1,28
444,47,90,9,19,5,7,9,33,42,26,22,7,10,0,108,91.1,91.1,118.6,106.5,1,1,1.185510428100988,0.5801461108723679,-1,18,26,1,44
445,26,83,8,25,8,12,6,34,40,11,16,8,14,4,68,93.9,93.9,72.4,101.1,3IN4,0,0.7241746538871139,0.38513819664703214,-8,25,30,0,21
446,35,80,10,34,15,18,9,46,55,17,16,9,16,9,95,93.9,93.9,101.1,72.4,1,1,1.0117145899893503,0.5402638762511374,-7,34,21,0,17
447,38,82,14,32,15,19,11,27,38,18,17,3,10,5,105,86.7,86.7,121.1,114.1,1,1,1.2110726643598617,0.5810092961487384,1,32,14,0,31
448,40,79,12,29,7,12,7,31,38,26,19,4,11,2,99,86.7,86.7,114.1,121.1,3+,0,1.1418685121107266,0.587327954437589,-4,29,27,0,17
449,33,85,12,31,12,18,10,34,44,17,21,8,9,8,90,89.9,89.9,100.1,90.1,1,1,1.00111234705228,0.48428755919070166,1,32,25,0,20
450,29,82,4,19,19,23,16,35,51,14,16,3,18,14,81,89.9,89.9,90.1,100.1,1,0,0.9010011123470522,0.43964394268345636,-2,21,30,0,21
451,36,79,11,34,14,23,9,29,38,24,17,8,20,4,97,99.0,99.0,98.0,119.2,1,0,0.9797979797979797,0.544210053859964,-11,37,20,0,14
452,48,87,11,26,11,16,9,38,47,25,19,11,15,5,118,99.0,99.0,119.2,98.0,1,1,1.1919191919191918,0.6273925988940876,-6,27,13,0,43
453,48,95,13,26,23,29,7,33,40,29,21,11,13,4,132,112.3,101.7,117.6,114.9,3IN4,1,1.1754229741763136,0.6124721603563474,-6,28,30,0,38
454,48,101,12,34,21,27,13,38,51,34,21,10,17,7,129,112.3,101.7,114.9,117.6,3IN4,0,1.1487088156723064,0.5714032600992205,-4,34,44,1,20
455,34,85,7,22,23,25,11,28,39,16,27,15,17,8,98,98.8,98.8,99.2,86.1,1,1,0.9919028340080972,0.5104166666666666,-6,26,20,0,32
456,32,79,6,26,15,21,12,36,48,17,26,11,26,6,85,98.8,98.8,86.1,99.2,1,0,0.8603238866396761,0.4816409791477788,-14,27,22,1,20
457,36,76,13,23,19,29,2,32,34,20,14,3,14,8,104,100.9,100.9,103.0,117.9,3IN4,0,1.0307234886025767,0.5858494817485354,-12,26,21,0,20
458,47,100,12,32,13,17,12,40,52,30,20,7,11,5,119,100.9,100.9,117.9,103.0,3IN4,1,1.1793855302279486,0.5535913658355043,1,33,30,0,22
459,43,83,11,28,12,17,4,40,44,31,21,10,18,10,109,102.0,102.0,106.9,83.3,1,1,1.0686274509803921,0.602343059239611,-14,25,15,0,28
460,32,90,5,22,16,23,14,31,45,20,16,12,18,3,85,102.0,102.0,83.3,106.9,3IN4,0,0.8333333333333333,0.4244906112664802,-4,22,24,0,35
461,40,85,21,50,16,20,8,34,42,27,19,8,16,2,117,98.7,98.7,118.5,105.4,1,1,1.1854103343465046,0.6236673773987207,-8,49,26,1,7
462,39,80,9,32,17,21,4,33,37,24,18,7,14,6,104,98.7,98.7,105.4,118.5,1,0,1.0536980749746707,0.5826983415508741,-10,32,22,0,19
463,40,75,9,24,23,29,6,32,38,22,17,7,14,6,112,94.1,94.1,119.0,106.3,3IN4-B2B,1,1.1902231668437833,0.6381039197812215,-8,24,15,0,35
464,42,88,6,22,10,14,12,28,40,21,26,11,14,1,100,94.1,94.1,106.3,119.0,B2B,0,1.0626992561105209,0.5310110450297366,-2,22,24,0,41
465,37,99,12,32,16,20,11,36,47,26,27,9,8,6,102,98.8,98.8,103.3,108.3,B2B,0,1.0323886639676114,0.4730983302411874,3,32,32,0,31
466,35,80,8,22,29,42,10,42,52,16,14,3,10,9,107,98.8,98.8,108.3,103.3,3IN4-B2B,1,1.082995951417004,0.5432575142160845,0,23,27,0,28
467,37,82,1,19,13,17,6,26,32,11,20,7,9,1,88,91.3,91.3,96.4,116.1,3IN4-B2B,0,0.963855421686747,0.4917299955297273,-3,18,25,1,36
468,42,83,8,23,14,26,10,33,43,23,16,4,11,3,106,91.3,91.3,116.1,96.4,4IN5-B2B,1,1.1610076670317633,0.5612028801355358,-1,23,22,0,28
469,37,73,9,25,27,33,2,32,34,23,19,5,6,5,110,90.8,90.8,121.1,117.8,3IN4-B2B,1,1.2114537444933922,0.6284277879341865,-4,26,17,1,24
470,40,81,11,31,16,24,8,31,39,18,21,3,10,6,107,90.8,90.8,117.8,121.1,3IN4-B2B,0,1.1784140969162995,0.5843162953254696,-2,31,16,1,29
471,41,89,10,35,10,12,8,24,32,22,15,8,14,3,102,95.4,95.4,107.0,120.6,3IN4-B2B,0,1.069182389937107,0.5409418752651676,-6,37,24,0,27
472,45,81,11,22,14,17,12,33,45,25,14,9,18,8,115,95.4,95.4,120.6,107.0,3IN4-B2B,1,1.2054507337526204,0.6498643761301989,-6,24,19,0,30
473,38,92,12,40,24,28,14,32,46,19,14,5,10,3,112,97.1,97.1,115.3,111.2,1,1,1.153450051493306,0.5368098159509203,4,41,28,0,20
474,43,92,15,34,7,10,13,37,50,29,24,5,16,5,108,97.1,97.1,111.2,115.3,1,0,1.1122554067971164,0.5601659751037344,-3,34,30,0,25
475,39,89,13,29,29,32,10,39,49,21,25,5,12,1,120,103.1,103.1,116.4,110.6,1,1,1.163918525703201,0.5820721769499418,-2,30,22,0,31
476,36,89,11,25,31,36,9,37,46,11,24,5,11,7,114,103.1,103.1,110.6,116.4,1,0,1.1057225994180406,0.5436856161770316,-2,26,20,0,40
477,46,86,13,23,17,22,9,36,45,24,12,11,15,3,122,99.4,99.4,122.8,105.7,1,1,1.227364185110664,0.6375418060200668,-6,23,22,0,33
478,38,87,16,39,13,14,9,33,42,19,21,7,16,1,105,99.4,99.4,105.7,122.8,1,0,1.056338028169014,0.5635465865178189,-7,39,15,1,29
479,41,86,8,24,14,20,10,43,53,24,16,6,11,6,104,95.2,95.2,109.2,100.8,1,1,1.0924369747899159,0.5485232067510548,-1,25,26,0,27
480,38,92,7,28,13,17,10,36,46,24,17,6,8,5,96,95.2,95.2,100.8,109.2,1,0,1.0084033613445378,0.48250904704463204,2,28,21,0,38
481,22,70,4,24,22,27,6,34,40,11,13,9,20,4,70,93.7,93.7,74.7,97.1,1,0,0.7470651013874066,0.42745481191988277,-14,24,15,0,27
482,40,92,5,19,6,7,13,39,52,26,21,8,14,4,91,93.7,93.7,97.1,74.7,1,1,0.9711846318036286,0.47854438367690366,-1,20,21,0,44
483,30,77,5,20,16,18,10,32,42,17,19,8,13,3,81,85.4,85.4,94.9,106.6,1,0,0.9484777517564402,0.47691945360339144,-3,22,13,0,23
484,46,82,17,36,21,28,7,29,36,26,23,7,11,8,130,98.0,98.0,132.7,116.4,1,1,1.3265306122448979,0.6891433418150976,-4,35,37,1,7
485,40,83,12,33,22,29,8,27,35,24,24,7,15,2,114,98.0,98.0,116.4,132.7,1,0,1.163265306122449,0.5952380952380952,-7,34,26,1,15
486,39,88,12,35,4,10,7,31,38,25,19,5,12,6,94,94.7,94.7,99.3,115.1,1,0,0.9926082365364307,0.5086580086580086,-5,32,19,0,28
487,42,95,8,20,17,20,15,38,53,20,15,7,9,2,109,94.7,94.7,115.1,99.3,1,1,1.1510031678986272,0.5250481695568401,6,18,19,0,42
488,38,93,3,21,16,26,13,31,44,20,24,15,20,4,95,106.9,96.8,88.9,94.5,3IN4-B2B,0,0.8886810102899906,0.4548065875143623,-7,21,38,0,33
489,35,85,10,25,21,26,11,38,49,22,23,11,24,7,101,106.9,96.8,94.5,88.9,3IN4,1,0.9448082319925162,0.5236416424720033,-13,26,21,0,36
490,36,86,14,34,9,13,12,26,38,27,21,9,16,4,95,92.9,92.9,102.2,131.3,3IN4-B2B,0,1.0226049515608182,0.5178805058874837,-4,36,17,0,25
491,42,77,13,19,25,31,8,34,42,22,14,11,12,8,122,92.9,92.9,131.3,102.2,2,1,1.3132400430570503,0.6729920564872021,-4,18,20,1,27
492,46,92,8,22,12,18,17,36,53,25,22,4,14,7,112,93.5,93.5,119.7,110.1,3IN4,1,1.1978609625668448,0.5604483586869495,3,22,39,0,29
493,36,91,6,19,25,28,12,28,40,20,16,9,5,11,103,93.5,93.5,110.1,119.7,3IN4,0,1.1016042780748663,0.49845141308555946,7,17,30,2,39
494,40,83,11,27,21,26,6,34,40,26,27,4,10,3,112,97.3,97.3,115.1,106.9,2,1,1.1510791366906477,0.5929690808979247,-4,28,24,0,28
495,38,80,6,30,22,32,7,34,41,24,25,6,13,2,104,97.3,97.3,106.9,115.1,3IN4,0,1.0688591983556013,0.5527210884353742,-6,31,21,0,26
496,36,82,9,26,23,31,9,38,47,24,14,3,14,4,104,97.2,97.2,107.0,87.4,3IN4,1,1.0699588477366255,0.5437055625261397,-5,28,10,0,32
497,36,89,7,29,6,13,8,34,42,21,25,10,12,4,85,97.2,97.2,87.4,107.0,3IN4,0,0.8744855967078189,0.4486908783783784,-4,32,18,1,28
498,40,79,4,18,28,34,12,30,42,19,21,9,12,3,112,93.2,93.2,120.2,110.5,2,1,1.201716738197425,0.5959982971477223,0,19,31,0,23
499,36,81,7,19,24,25,10,29,39,26,23,8,15,2,103,93.2,93.2,110.5,120.2,3IN4,0,1.1051502145922747,0.5597826086956522,-5,20,31,0,26
500,36,86,7,29,21,30,14,37,51,20,22,11,19,4,100,101.4,101.4,98.6,103.5,3IN4-B2B,0,0.9861932938856016,0.5040322580645161,-5,30,19,0,31
501,37,85,12,35,19,24,7,34,41,25,20,6,15,10,105,101.4,101.4,103.5,98.6,3IN4,1,1.0355029585798816,0.5493930514859774,-8,35,16,0,25
502,45,92,12,28,10,11,9,35,44,21,19,7,12,4,112,95.6,95.6,117.1,93.1,2,1,1.1715481171548117,0.5782734407269723,-3,29,21,0,36
503,31,78,9,27,18,21,5,35,40,21,16,7,13,5,89,95.6,95.6,93.1,117.1,4IN5-B2B,0,0.9309623430962345,0.5100871160018341,-8,28,18,0,30
504,46,109,13,40,17,22,11,46,57,21,29,10,15,3,122,121.4,100.5,100.5,104.6,1,0,1.0049423393739703,0.5139871924502865,-4,41,24,0,41
505,45,104,13,38,24,36,7,46,53,22,23,10,13,3,127,121.4,100.5,104.6,100.5,1,1,1.046128500823723,0.5298731642189586,-6,40,24,0,31
506,32,75,14,39,23,31,7,28,35,17,19,7,20,6,101,100.1,100.1,100.9,117.8,1,0,1.008991008991009,0.5697202166064982,-13,38,17,1,14
507,46,86,7,19,19,23,10,33,43,27,22,15,17,6,118,100.1,100.1,117.8,100.9,1,1,1.1788211788211789,0.6138160632542655,-7,19,39,0,21
508,37,87,5,30,9,18,9,38,47,26,17,8,12,5,88,95.0,95.0,92.7,110.6,1,0,0.9263157894736842,0.4635482511588706,-3,31,24,0,28
509,38,88,8,31,21,25,13,41,54,24,17,10,9,3,105,95.0,95.0,110.6,92.7,1,1,1.1052631578947367,0.5303030303030303,4,33,25,1,25
510,39,86,6,15,11,12,9,31,40,25,21,12,13,4,95,93.2,93.2,101.9,89.1,1,1,1.0193133047210299,0.5203768624014022,-4,16,20,0,44
511,28,76,5,20,22,26,10,35,45,19,17,9,19,4,83,93.2,93.2,89.1,101.9,2,0,0.8905579399141631,0.4746111619396157,-9,20,23,0,31
512,37,91,11,30,16,22,15,23,38,14,20,5,7,6,101,89.0,89.0,113.5,134.9,1,0,1.1348314606741572,0.5015891934843066,8,30,32,0,19
513,41,74,15,28,23,27,5,35,40,23,20,4,10,5,120,89.0,89.0,134.9,113.5,B2B,1,1.348314606741573,0.6986492780624127,-5,29,26,0,14
514,48,87,9,20,16,21,13,39,52,28,19,4,11,8,121,93.3,93.3,129.8,122.2,B2B,1,1.296891747052519,0.6286367414796343,2,19,23,1,34
515,40,91,15,42,19,20,9,24,33,26,17,6,6,3,114,93.3,93.3,122.2,129.8,1,0,1.2218649517684887,0.5711422845691383,3,42,26,1,15
516,36,81,11,27,22,26,12,18,30,16,25,13,15,1,105,91.8,91.8,114.4,130.7,1,0,1.1437908496732028,0.5679359584595414,-3,28,21,0,26
517,38,69,16,32,28,33,10,32,42,23,25,8,20,3,120,91.8,91.8,130.7,114.4,1,1,1.3071895424836601,0.7183908045977012,-10,29,14,1,15
518,33,81,2,8,28,41,18,42,60,17,24,12,24,3,96,101.9,101.9,94.2,88.4,3IN4-B2B,1,0.9421000981354268,0.4846526655896608,-6,11,35,0,29
519,32,91,4,21,22,29,14,32,46,22,26,15,14,11,90,101.9,101.9,88.4,94.2,3+,0,0.8832188420019628,0.4336931380107941,0,23,26,0,38
520,44,98,10,28,17,26,11,37,48,25,25,8,12,3,115,109.3,99.0,105.2,115.3,1,0,1.0521500457456543,0.5254020467836258,-1,27,30,1,28
521,46,95,12,30,22,31,9,38,47,28,22,10,14,4,126,109.3,99.0,115.3,105.2,1,1,1.1527904849039343,0.5798969072164949,-5,31,30,0,26
522,41,91,13,32,11,15,12,27,39,24,26,8,14,3,106,94.8,94.8,111.8,109.7,1,1,1.1181434599156117,0.5430327868852459,-2,33,19,0,35
523,34,77,4,19,32,39,11,29,40,17,17,9,15,5,104,94.8,94.8,109.7,111.8,1,0,1.0970464135021096,0.5522514868309261,-4,19,24,0,30
524,33,71,11,19,17,24,7,35,42,16,11,7,12,6,94,85.3,85.3,110.2,102.0,B2B,1,1.1019929660023449,0.5762628739578225,-5,19,16,0,27
525,41,93,9,24,15,26,11,37,48,26,25,14,6,7,106,100.8,100.8,105.1,97.2,1,1,1.0515873015873016,0.5074684029107621,5,24,30,0,35
526,38,91,7,22,15,24,14,41,55,28,21,3,19,7,98,100.8,100.8,97.2,105.1,2,0,0.9722222222222221,0.4824734147302087,-5,25,32,0,27
527,45,89,9,25,8,10,7,33,40,20,22,9,22,6,107,103.4,103.4,103.5,105.4,3IN4,0,1.034816247582205,0.5728051391862955,-15,28,20,0,34
528,40,89,10,21,19,25,13,28,41,15,17,11,17,4,109,103.4,103.4,105.4,103.5,2,1,1.0541586073500968,0.545,-4,20,20,1,41
529,36,72,6,14,31,35,4,28,32,19,14,3,17,4,109,95.6,95.6,114.1,137.1,2,0,1.1401673640167365,0.6235697940503432,-13,15,14,0,36
530,51,94,12,32,17,19,14,26,40,29,23,13,7,2,131,95.6,95.6,137.1,114.1,2,1,1.3702928870292885,0.6398983978116451,7,35,32,1,13
531,35,74,5,18,22,31,4,35,39,24,18,5,10,6,97,93.1,93.1,104.2,93.5,3IN4,1,1.041890440386681,0.5534002738475582,-6,18,14,0,37
532,36,80,15,34,24,29,14,34,48,23,18,8,19,10,111,96.5,96.5,115.1,96.4,1,1,1.150259067357513,0.5983182406209573,-5,33,27,1,16
533,34,89,12,40,13,16,12,28,40,20,22,9,18,9,93,96.5,96.5,96.4,115.1,1,0,0.9637305699481865,0.48417326114119114,-6,41,30,0,15
534,33,74,6,24,22,31,7,35,42,15,19,5,18,9,94,93.7,93.7,100.3,101.4,1,0,1.0032017075773745,0.5362848014605203,-11,27,13,0,23
535,33,79,7,18,22,28,8,31,39,18,25,9,10,9,95,93.7,93.7,101.4,100.3,3IN4-B2B,1,1.0138740661686232,0.5201489268506352,-2,19,22,1,30
536,42,89,13,31,16,24,14,33,47,33,32,7,12,3,113,92.2,92.2,122.5,101.9,1,1,1.2255965292841646,0.5674969867416633,2,34,19,0,30
537,28,69,9,24,29,39,6,30,36,12,24,5,12,3,94,92.2,92.2,101.9,122.5,1,0,1.0195227765726682,0.5454967502321263,-6,24,15,0,24
538,44,86,8,19,15,19,13,27,40,16,15,7,6,2,111,85.0,85.0,130.7,129.5,3IN4-B2B,1,1.3058823529411765,0.5881729546417974,7,19,38,1,24
539,40,73,17,30,13,17,5,26,31,24,14,5,11,8,110,85.0,85.0,129.5,130.7,3IN4,0,1.2941176470588236,0.6833996023856859,-6,31,16,0,23
540,48,108,14,44,22,30,15,41,56,26,28,11,21,4,132,121.9,100.9,108.2,104.1,1,1,1.0828547990155866,0.5445544554455446,-6,44,34,0,23
541,43,104,12,44,29,37,13,41,54,31,27,12,17,7,127,121.9,100.9,104.1,108.2,2,0,1.0418375717801476,0.5279348187562355,-4,43,29,1,27
542,37,78,13,26,18,26,7,40,47,24,20,8,12,3,105,92.1,92.1,114.1,95.6,3IN4-B2B,1,1.1400651465798046,0.5869856887298748,-5,24,17,1,30
543,36,95,9,32,7,10,15,31,46,24,18,3,10,6,88,92.1,92.1,95.6,114.1,3+,0,0.9554831704668838,0.44265593561368205,5,31,31,1,28
544,33,88,6,26,20,25,14,37,51,22,16,9,14,10,92,95.5,95.5,96.3,101.5,3+,0,0.9633507853403143,0.46464646464646464,0,27,33,1,19
545,36,88,11,28,14,15,11,34,45,25,22,10,15,9,97,95.5,95.5,101.5,96.3,1,1,1.0157068062827226,0.5126849894291755,-4,28,26,1,28
546,32,93,6,26,10,17,19,27,46,16,18,6,18,2,80,93.2,93.2,85.8,121.2,3IN4,0,0.8583690987124464,0.39808917197452226,1,27,19,0,25
547,45,83,12,29,11,13,7,37,44,25,18,8,11,5,113,93.2,93.2,121.2,85.8,1,1,1.2124463519313304,0.6368349864743011,-4,29,20,0,27
548,41,88,10,28,22,24,13,30,43,25,25,6,14,6,114,98.6,98.6,115.6,119.7,1,0,1.156186612576065,0.578327922077922,-1,29,28,0,30
549,41,86,12,31,24,30,11,32,43,26,18,9,15,6,118,98.6,98.6,119.7,115.6,1,1,1.1967545638945232,0.594758064516129,-4,30,28,1,24
550,45,83,10,26,5,10,6,27,33,30,15,5,20,1,105,98.0,98.0,107.1,113.2,3IN4-B2B,0,1.0714285714285714,0.6006864988558352,-14,27,25,0,21
551,47,96,3,18,14,17,16,33,49,31,16,11,12,4,111,98.0,98.0,113.2,107.1,1,1,1.1326530612244896,0.5363355237727097,4,18,35,0,35
552,45,88,10,24,14,16,12,35,47,27,18,6,9,7,114,92.9,92.9,122.8,103.4,3IN4-B2B,1,1.2271259418729816,0.5997474747474747,3,25,20,0,42
553,39,85,5,20,13,21,10,30,40,21,14,5,13,4,96,92.9,92.9,103.4,122.8,2,0,1.0333692142088267,0.5093378607809848,-3,19,26,1,38
554,48,89,17,29,8,12,11,43,54,28,15,4,15,3,121,95.7,95.7,126.4,88.8,3IN4,1,1.264367816091954,0.6417055579126008,-4,30,17,0,35
555,32,88,6,24,15,20,6,26,32,22,12,6,7,2,85,95.7,95.7,88.8,126.4,1,0,0.8881922675026123,0.4390495867768595,-1,27,19,0,34
556,41,81,7,11,16,18,9,34,43,25,26,13,20,3,105,96.8,96.8,108.5,110.5,1,0,1.0847107438016528,0.5904183535762483,-11,11,23,0,40
557,39,80,8,20,21,33,12,25,37,27,17,11,15,4,107,96.8,96.8,110.5,108.5,3IN4,1,1.1053719008264462,0.5660177740160812,-3,21,15,0,36
558,45,88,17,37,21,25,10,31,41,25,14,11,13,7,128,99.4,99.4,128.8,110.7,3IN4-B2B,1,1.2877263581488934,0.6464646464646465,-3,38,29,0,21
559,46,104,9,31,9,16,24,30,54,22,20,5,16,4,110,99.4,99.4,110.7,128.8,1,0,1.1066398390342052,0.4953170028818443,8,33,39,0,30
560,34,91,11,41,24,33,10,36,46,21,26,6,14,5,103,104.7,104.7,98.4,107.0,1,0,0.9837631327602674,0.4880591357088704,-4,40,26,1,14
561,40,85,6,24,26,36,7,39,46,25,24,9,12,10,112,104.7,104.7,107.0,98.4,1,1,1.069723018147087,0.5553351844506148,-5,23,24,1,33
562,48,106,10,27,19,22,14,37,51,32,19,10,11,10,125,109.7,99.3,114.0,109.4,3IN4-B2B,1,1.13947128532361,0.540283540802213,3,27,46,0,30
563,44,101,14,36,18,26,13,37,50,30,16,6,15,8,120,109.7,99.3,109.4,114.0,1,0,1.0938924339106655,0.5336179295624333,-2,37,31,1,24
564,35,88,7,28,7,14,13,25,38,21,13,7,19,5,84,97.7,97.7,86.0,131.0,3IN4-B2B,0,0.8597748208802456,0.4460492778249788,-6,26,18,1,25
565,53,92,13,24,9,11,12,36,48,28,17,14,15,7,128,97.7,97.7,131.0,86.0,3IN4-B2B,1,1.3101330603889456,0.6608839322593969,-3,25,24,1,28
566,38,76,8,26,23,29,6,31,37,22,21,5,11,3,107,93.1,93.1,114.9,113.8,3IN4-B2B,1,1.1493018259935555,0.6027489860297431,-5,26,19,1,25
567,35,76,15,33,21,26,8,30,38,20,23,5,17,3,106,93.1,93.1,113.8,114.9,B2B,0,1.138560687432868,0.6061299176578225,-9,34,19,0,22
568,35,81,7,21,23,29,14,30,44,16,18,7,18,4,100,92.3,92.3,108.4,111.6,4IN5-B2B,0,1.0834236186348862,0.5332764505119454,-4,24,18,0,26
569,41,88,10,30,11,15,14,29,43,32,19,13,12,7,103,92.3,92.3,111.6,108.4,3IN4,1,1.115926327193933,0.5443974630021142,2,35,18,1,24
570,32,71,3,13,15,21,11,32,43,9,22,4,20,5,82,88.8,88.8,92.3,120.5,3IN4-B2B,0,0.9234234234234234,0.5109670987038883,-9,13,14,0,34
571,37,83,13,24,11,14,7,30,37,19,21,7,14,5,98,91.7,91.7,106.8,114.5,3IN4-B2B,0,1.0687022900763359,0.5495737999102737,-7,25,23,1,31
572,35,78,9,25,26,28,7,33,40,20,13,8,9,3,105,91.7,91.7,114.5,106.8,1,1,1.1450381679389312,0.5812666076173605,-2,27,24,0,26
573,38,86,6,22,10,15,8,38,46,23,14,6,14,6,92,95.2,95.2,96.6,104.0,3IN4,0,0.9663865546218486,0.4967602591792657,-6,23,28,1,23
574,36,89,9,24,18,24,12,35,47,19,17,6,9,9,99,95.2,95.2,104.0,96.6,2,1,1.0399159663865547,0.4971876255524307,3,26,24,0,28
575,41,91,11,32,16,21,14,22,36,24,29,8,15,2,109,100.0,100.0,109.0,138.0,2,0,1.09,0.5436951316839586,-1,35,20,0,29
576,49,78,14,21,26,34,6,32,38,37,19,9,17,5,138,100.0,100.0,138.0,109.0,1,1,1.3800000000000001,0.7422547332185886,-11,21,20,0,31
577,42,79,7,23,7,14,4,35,39,23,11,8,11,7,98,92.1,92.1,106.4,99.9,3IN4,1,1.0640608034744843,0.575387505871301,-7,23,19,0,37
578,38,86,10,27,6,13,10,34,44,16,12,8,13,3,92,92.1,92.1,99.9,106.4,1,0,0.998914223669924,0.5015263846489315,-3,26,25,1,30
579,36,98,6,28,14,19,12,39,51,15,22,8,11,6,92,103.7,103.7,88.7,97.4,1,0,0.8871745419479267,0.43249341857841295,1,30,30,0,29
580,41,89,6,28,13,26,11,48,59,24,15,7,16,5,101,103.7,103.7,97.4,88.7,3+,1,0.9739633558341368,0.5027877339705297,-5,28,33,0,17
581,31,97,9,28,27,31,18,33,51,18,17,13,11,5,98,100.4,100.4,97.6,105.5,1,0,0.9760956175298803,0.44287780187997106,7,30,36,0,28
582,39,88,11,29,17,24,14,44,58,20,25,5,19,10,106,100.4,100.4,105.5,97.6,1,1,1.0557768924302788,0.5377435064935064,-5,31,24,1,29
583,39,79,5,14,28,35,5,31,36,21,24,9,11,2,111,97.2,97.2,114.2,104.9,3+,1,1.1419753086419753,0.5879237288135593,-6,14,27,1,30
584,36,81,10,30,20,28,16,35,51,19,24,5,20,7,102,97.2,97.2,104.9,114.2,3IN4,0,1.049382716049383,0.5465066438062581,-4,30,18,1,27
