,game_id,team_in_possession,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance,shot_distance
type,,,Alley Oop Dunk,Alley Oop Layup,Driving Bank Hook Shot,Driving Bank Shot,Driving Dunk,Driving Finger Roll Layup,Driving Hook Shot,Driving Jump Shot,Driving Layup,Driving Reverse Layup,Dunk,Fadeaway Bank Shot,Fadeaway Jumper,Finger Roll Layup,Floating Jump Shot,Hook Bank Shot,Hook Shot,Jump Bank Shot,Jump Shot,Layup,Pullup Bank Shot,Pullup Jump Shot,Putback Dunk,Putback Layup,Reverse Dunk,Reverse Layup,Running Dunk,Running Finger Roll Layup,Running Hook Shot,Running Jump Shot,Running Layup,Running Reverse Layup,Step Back Jump Shot,Turnaround Bank Hook Shot,Turnaround Bank Shot,Turnaround Fadeaway ,Turnaround Hook Shot,Turnaround Jump Shot,unknown
15,21600008,MIL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,20.0,4.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
16,21600009,MEM,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,16.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,3.0
17,21600009,MIN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,15.0,2.0,0.0,5.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,8.0
18,21600010,DEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,16.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
19,21600010,NOP,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20,21600011,OKC,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,19.0,3.0,0.0,4.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0
21,21600011,PHI,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,5.0,2.0
22,21600012,PHX,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,15.0,2.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0
23,21600012,SAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,3.0,1.0,17.0,1.0,0.0,4.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
24,21600013,HOU,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,11.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0
25,21600013,LAL,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,16.0,2.0,0.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,0.0,2.0,3.0,4.0,6.0
